,name,price,type,종류,소재,치수,제조사,제조국,취급시 주의사항,품질보증기준,A/S 책임자,색상,크기,제품 소재,세탁방법/취급시 주의사항,제조연월,비비안웨스트우드 / 지인터내셔날㈜,이탈리아,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,관련법 및 소비자 분쟁 해결기준에 따름
138,[친구 맺고 3%적립] [30%off][토리버치 공식]키라 쉐브론 바이폴드 월렛,"231,000원",luxury,지갑,겉감 : 천연가죽(양). 안감 : 폴리에스터 70%. 안감 : 레이온 30%.,F,삼성물산 패션부문,중국,상세설명 참조,"1.본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다. ①?원단불량, 부자재불량, 봉제불량, 사이즈부정확, 부당표시(미표시 및 부실표시) 및 소재구성 부적합으로 인한 세탁사고 : 무상수리, 교환, 환급 순으로 보상.  ② 사이즈가 맞지 않거나 디자인/색상 불만 : 배송완료일로부터 7일 이내로서 제품의 손상이 없는 경우 교환 또는 환급  ③?교환 및 환급기준 ????? i) 교환 또는 환급은 구입가를 기준으로 함. 단, 품질보증기간(1년) 경과 제품은 감가(세탁업배상비율표 적용)함. ????? ii) 상하 일착인 경우 한쪽에만 이상이 있어도 일착으로 처리. 단, 소재 및 디자인이 다를 경우엔 해당 의류만 교환.  2. 소비자 부주의에 의한 제품훼손 및 세탁 잘못으로 인한 변형에 대해서는 보상의 책임을 지지 않으며, 수선 가능시에는 실비로 수선해드립니다.?",삼성물산 패션부분 1599-0007,,,,,,,,,,
139,골든구스 여성 슈퍼스타 GWF00175 F003366 11234,"748,000원",luxury,,,37사이즈 기준: 굽높이(겉굽) 3 (단위: CM),골든구스 / 골든구스 코리아,이탈리아,"1.천연가죽제품 구두의 경우 땀이나 체열 등 습기에 노출될 경우 가죽의 이염이 발생할 수도 있으며 형태의 변형이발생할수 있으니 가급적 비오는 날이나 습기가많은 장소에는 착용을 하시지 않는것이 좋습니다.      2.제품을 보관할 경우 제품형태의 변형을 막기 위해서 shoe keeper(슈키퍼)를 사용하여 더스트백에 넣은 후 건냉한 곳에 보관하시면 좋습니다.      3.제품에 사용된 가죽은 통기성이 뛰어난 천연가죽으로 제작되어 땀의 흡수 및 마찰에 의해 가죽 염색이 양말에 베어나올수도 있습니다. 초기 사용시 밝은 색 양말의 착용을 피하시는 것이 좋습니다.      4.상품이 물에 젖었을 경우에는 마른 수건으로 물기를 제거한 후 통풍이 잘되는 그늘에서 건조하시기 바랍니다. 직사광선이나 열로 직접 건조하면 변질될 우려가 있습니다.      5.세탁 시 또는 오염이 되었을 때에는 가죽 전문 세탁업체에게 보내어 세탁을 하시고 적합하지 않은 제품(일반세제나 벤졸 등)을 가죽에 사용하였을 경우 얼룩이 생겨 지워지지 않을 수 있음을 알려드립니다.      6.단, 소재가 쎄무 종류일 경우에는 구둣솔 및 고무지우개만 사용하십시오. 가죽 염료는 수성이므로 면, 마 등의 흰 천연 섬유에 오염될 염려가 있으니 습기, 땀 등에 주의를 요합니다.      7.상품의 용도 이외에는 사용을 금합니다.       ※제품의 보다 안전한 사용을 위해 제품에 부착된 케어라벨을 반드시 확인한 후 사용하여 주십시오.",구매일로부터 1년,(주)스타일쉽 고객센터 : 1811-4073,상세페이지 참조,,겉감: 염소 가죽 85% 소 가죽 15% 안감: 소 가죽 60% 면 40% 밑창: 고무 100%,,,,,,,
140,알리오 X C1,"310,000원",luxury,안경,"아세테이트, 메탈","프레임 정면 139.2 mm,  프레임 옆면 148 mm, 렌즈 가로 49.5 mm, 렌즈 높이 43.2 mm",젠틀몬스터,중국,- 제품을 착용한 상태에서의 격렬한 운동은 파손으로 인해 얼굴에 중상을 입힐 위험이 있으니 주의하시기 바랍니다. - 제품은 케이스에 넣어 건조한 장소에 보관하십시오. - 섭씨 영하 10도에서 영상 35도 사이의 온도에 보관하십시오. - 차 안 대시보드와 같이 밀폐된 공간에서 햇볕에 노출되거나 고온에 방치되는 경우 제품 기능에 손상을 줄 수 있습니다. - 메탈소재의 제품은 피부가 민감하신 분에게 알레르기 반응을 일으킬 수 있으니 주의하시기 바랍니다.,관련법 및 소비자 분쟁해결 기준에 따름,주식회사 아이아이컴바인드,,,,,,,,,,
141,프라다 1NA369 2BQP F0002 끈조임형 버킷백 (별도스트랩X),"669,000원",luxury,버킷백,나일론 소가죽,,프라다/(주)트랜드메카-병행수입,브랜드국-이탈리아(ITALY)(원산지:중국),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,블루,SIZE - 15cmx20cmx10cm,,,,,,,,
142,몽블랑 블랙 컬러 벨트 114421,"410,000원",luxury,벨트,천연가죽(소가죽),1200 x 30 x 5 mm,제조사/수입자: 몽블랑,이탈리아,"레더는 빛, 습기, 수분에 민감한 천연 소재입니다. 몽블랑 레더 제품을 완벽한 상태로 유지하고 탈색을 방지하기 위해서는 제품을 고온과 직사광선에 장시간 노출하지 않아야 합니다. 제품이 물에 닿은 경우 매끄럽고 부드러운 천으로 즉시 물기를 제거하여 건조시킵니다. 레더 본연의 부드러움을 유지하려면 레더 케어 제품을 사용하여 관리해 주시기 바랍니다.",관련 법 및 소비자 분쟁해결 규정에 따름,(고객센터) (몽블랑 A/S센터) 1670-4810,,,,,,,,,,
143,[오피디아] 코리아 익스클루시브 미디엄 GG 토트백,"1,810,000원",luxury,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
144,몽블랑 사토리얼 키 포브 114627,"280,000원",luxury,키링,천연가죽(소가죽),20 x 5 x 115 mm,제조사/수입자: 몽블랑,이탈리아,"레더는 빛, 습기, 수분에 민감한 천연 소재입니다. 몽블랑 레더 제품을 완벽한 상태로 유지하고 탈색을 방지하기 위해서는 제품을 고온과 직사광선에 장시간 노출하지 않아야 합니다. 제품이 물에 닿은 경우 매끄럽고 부드러운 천으로 즉시 물기를 제거하여 건조시킵니다. 레더 본연의 부드러움을 유지하려면 레더 케어 제품을 사용하여 관리해 주시기 바랍니다.",관련 법 및 소비자 분쟁해결 규정에 따름,(고객센터) (몽블랑 A/S센터) 1670-4810,,,,,,,,,,
145,[선물포장] 발망헤어 리미티드 에디션 바렛 푸어 슈브 라지,"140,000원",luxury,헤어핀,아세테이트,9.5 x 2.5 x 2.6 cm,발망헤어,프랑스,"1. 주얼리는 로션을 바르고, 화장을 모두 마무리하신 후, 그리고 향수까지 뿌린 후에 착용해 주세요 2. 이는 제품을 손상시킬 뿐만 아니라 도금의 수명을 단축시키며 변색의 원인이 되거나 원래의 반짝 임을 사라지게 할 수 있습니다 3. 착용 후에는 부드러운 천으로 닦아 주신 후 케이스 또는 부드러운 파우치에 보관해 주시기 바랍니다 &nbsp;4. 스크래치 혹은 기타 여러 가지 손상의 원인이 되는 딱딱한 물체와의 접촉을 피하도록 합니다.",관련 법 및 소비자 분쟁해결 규정에 따름,02-540-7667,,,,,,,,,,
146,프라다 1PP122 QWA F0002 사피아노 키체인 카드지갑,"609,000원",luxury,카드지갑,소가죽,SIZE - 13cmx8.5cmx3cm,프라다/(주)트랜드메카-병행수입,브랜드국-이탈리아(ITALY)(원산지:이탈리아),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
147,프라다 1TR264 EGY F0002 루퍼스 메탈 로봇 키링,"299,000원",luxury,키링,메탈,SIZE - 9cmx13.5cm,프라다/(주)트랜드메카-병행수입,브랜드국-이탈리아(ITALY)(원산지:이탈리아),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
148,[구찌 아따슈] 라지 숄더백,"3,600,000원",luxury,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
149,[오피디아] GG 스몰 숄더백,"1,940,000원",luxury,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
