,name,price,type,품명 및 모델명,색상,재질,제조사,제조국,사용연령 또는 체중범위,출시년월,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",KC 인증 필 유무,품질보증기준,A/S 책임자,구성품,크기,수입식품안전관리특별법에 따른 수입신고,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,정격전압/소비전력,"크기,무게",주요 사양,종류,소재,치수,취급시 주의사항,제품 소재,제품구성,세탁방법/취급시 주의사항,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,소비자 상담 관련 전화번호,품명,주요 소재,배송 설치 비용,"크기,중량",상품별 세부사양
41,내 바지 속에 짐승 한마리 짐승팬티,"9,900원",funny,내 바지 속에 짐승 한마리 짐승팬티,,,바나나빌딩,상품상세설명 참조,,,,,,,,,,,해당사항없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"""주인님 펜을 대령했습니다"" 기사 펜홀더 펜꽂이","17,900원",funny,상품상세설명 참조,,,제조자:220VSHOP협력사/수입자:이이공브이샵,중국,,,,,,,,,,,해당없음,032-661-2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,레토 짱구 마우스패드 손목보호받침대 젤패드 CYS-WP02,"12,900원",funny,짱구 마우스패드 손목보호받침대 젤패드 CYS-WP02,,,(주)레토지엠에스,상품상세설명 참조,,,,,,,,,,,해당없음,"(주)레토지엠에스, 1544-3867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,집순이 빅후드담요 곰도리ver. (빅후드담요+양말+슬리퍼set) (톡별),"34,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,귀멸의칼날 바디필로우 네즈코,"26,900원",funny,,겉감－면 100% ／충전재－폴리에스터 100%,,35ｘ80 cm,한국,,,,,,상세페이지 기재,공정거래위원회 고시 소비자 분쟁 해결기준에 따름,,,,,,,,,,,상세페이지 기재,,귀멸의칼날 바디필로우 네즈코,07042421810 (070-4242-1810),상세페이지 기재,,,,,,,,,,,,,,,,,,,,,,
46,"""쓸모없는 선물"" 빡빡이 폭탄 펭귄 인형 애착 생일선물 쓸데없는 신박한 선물","15,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,곰돌이 모자 목도리 후드머플러 2color [양털 뽀글이 모자 털 겨울 귀여운 후드곰],"12,900원",funny,곰돌이 후드 목도리,,,Shenzhen Products Company,중국,,,,,,,,,,,해당사항 없음,070-8831-4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,헬리콥터 프로펠러 모자,"9,900원",funny,헬리콥터 프로펠러 모자,,,바나나빌딩,상품상세설명 참조,,,,,,,,,,,해당사항 없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"""쓸모없는 선물"" 노래하며 춤추는 꽃 인형 ( 3color ) 녹음+말따라하기+ 60곡연주 / 친구 & 애인","15,800원",funny,대형 바퀴벌레 쿠션 75cm 바디필로우 베개,,,스투피드,상품상세설명 참조,,,,,,,,,,,해당사항 없음,02-2069-0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,선택된 자들만의 우산 왕좌의 우산,"19,900원",funny,선택된 자들만의 우산 왕좌의 우산,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[단독판매] ""언제 어디서나 기대"" 욜로 라이프 에어체어 삼각쿠션","19,900원",funny,,상세페이지 참조,,상세페이지 참조,상품상세설명 참조,,,,,,상세페이지 참조,"A/S 불가, 고객센터: 070-7808-1112",,,,,,,,,,,상세페이지 참조,,상세페이지 참조,상세페이지 참조,상세페이지 참조,,,,,,,,,,,,,,,,,,,,,,
52,"입는 담요, 날 다람쥐 담요","19,000원",funny,"입는 담요, 날 다람쥐 담요",,,(주)아트웍스코리아,상품상세설명 참조,,,,,,,,,,,관련법 및 소비자분쟁해결기준에 따름,(주)아트웍스코리아 1544-6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,스트레스 해소 enter 쿠션,"11,900원",funny,스트레스 해소 enter 쿠션,,,바나나빌딩,상품상세설명 참조,,,,,,,,,,,해당사항 없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"""명품은 비싸더라.."" [너를 위한 명품 머그] 웃긴 집들이 선물 (머그+스푼+접시)","18,900원",funny,엣지 머그컵 세트,,도자기,COOKCHA,중국,,2022년 8월,,,,관련법 및 소비자분쟁해결기준에 따름,대표번호 031-322-8878,컵1P + 트레이1P + 스푼1P,"컵(넓이75mm), 트레이(가로203*세로122mm), 스푼(147mm)",수입식품안전 관리 특별법에 따른 수입신고를 필함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,도심 속 스나이퍼 우산,"18,800원",funny,도심 속 스나이퍼 우산,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"""인테리어 소품"" 곰돌이 캐릭터 아크릴 무드등 3종 (USB 충전식) 수면등 집들이 자취 신혼 선물","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"""슬기로운 집콕생활"" 콩나물 키트","9,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,해당없음,031-754-7701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"""쓸모없는 선물"" 금연 인형 (50cm) 바디필로우 생일선물 쓸데없는 신박한 선물","11,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"""쓸모없는 선물"" 눈 있는 똥 말랑이 생일선물 쓸데없는 신박한 선물","7,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"""쓸모없는선물"" [홈/생일파티]공주님 소품 요술봉 왕관 코스튬 6종세트 생일선물 홈파티 파티소품","9,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"""쓸모없는 선물 "" 데스노트 (+깃털 펜 포함) 생일선물 쓸데없는 신박한 선물","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"""헬스장에서 꿀템"" [쓸모없는선물] 출출한데 닭다리 스타킹 닭발니삭스","7,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"""토끼인가 사람인가"" 디자인 세안밴드 7종택1","4,900원",funny,세안밴드,,,젊은이마켓,상품상세설명 참조,,,,,,,,,,,해당사항없음,032 - 672 - 6046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"""쓸데없는 선물"" 쓸데없는 선물 특이한 옷 아구찜 티셔츠 반팔/긴팔","22,500원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"""낮잠자도 팔안저려"" 모찌식빵 낮잠쿠션 15cm 식빵인형","9,900원",funny,,상세페이지 참조,,(주)에스엔피토이월드,상품상세설명 참조,,,,,,KC자율안전확인,02 2603 6580,,,,,,,,,,,상세페이지 참조,,상세페이지 참조,상세페이지 참조,상세페이지 참조,,,,,,,,,,,,,,,,,,,,,,
66,"""너에게 간다, 행운"" 행운의 네잎클로버 (클로버1+봉투1) 위로 응원선물","5,900원",funny,행운의 네잎클로버 (클로버1+봉투1),,,네잎클로버,대한민국,,,,,,,,,,,해당사항없음,알럽안심센터 / 010-2262-8588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[친구선물] 너에게 정말 잘어울려 ""마이콜선글라스""","5,900원",funny,,,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
68,"""재미있는선물"" 선물하는 마음만은 만수르야 금괴 은괴 데스크 쿠션","7,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"""귀여운 선물"" 오리 날다 키링 열쇠고리 자동차 키 인싸템 생일선물 쓸데없는 신박한 선물","7,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"""쓸모없는 선물"" 곰돌이 가방 생일선물 쓸데없는 신박한 선물","12,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"""쓸모없는 선물"" 타투 쿨토시 팔토시 시원한 코스튬 분장 생일선물 쓸데없는 신박한 선물","7,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,01025528957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"""쓸모없는선물"" '밥 잘먹는 너' 곰동석 소두곰 필로우 47cm 곰인형 소두곰인형","19,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
