,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,의료기기법상 허가 신고 번호 및 광고사전심의필 유무,정격전압/소비전력,출시년월,제조사,제조국,제품의 사용목적 및 사용방법,취급시 주의사항,품질보증기준,A/S 책임자,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,KC 인증 필 유무,에너지소비효율등급,크기,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,"크기,무게",주요 사양,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,치수,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,품명,구성품,주요 소재,배송 설치 비용,제품구성,세탁방법/취급시 주의사항,서비스 제공 사업자,"취소, 중도해약, 해지 조건 및 환불기준","취소, 환불방법",재질,수입식품안전관리특별법에 따른 수입신고,종류,소재,이동통신 가입조건,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
10,"""에너지 선물"" 정관장 활기력 20ml x 10병","29,000원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조년일: 2022-08-01 / 유통기간: 2024-08-01,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,하귀농협 고당도 황금향 과일선물세트 2.5kg (8~12수),"22,900원",health,,,,,,,,,,신선식품 특성상 바로 섭취 부탁드립니다.,,010-8446-0443,,,,,,,,,,,황금향,"2.5kg, 8~12수",하귀농협 / 한섬누리,국내산,상시수확중,해당사항없음,"2.5kg, 8~12수",냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[추천선물] ""활력과 기력이 필요한 당신"" 6년근 홍삼 활기담 앰플 30병 + 쇼핑백","50,000원",health,상품상세설명 참조,국내제조/해당없음,홍삼음료,패키지 후면 참조 (F1 고려인삼주식회사 : 강원도 원주시 문막읍 문막공단길 226 / F2 (주)고려인삼제조 : 전북 남원시 광치산업2길 15),"2022년 1월 이후 상시제조, 제조일로부터 24개월, 유통기한은 상시제조하여 계속 바뀌는 부분으로 자세한사항은 고객센터로 문의부탁드립니다",상품상세설명 참조,상품상세설명 참조,해당사항 없음,해당사항 없음,상품상세설명 참조,해당사항 없음,070-4477-4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,[경복궁] 한우사골 실속세트 (한우사골고기곰탕+사골고기도가니탕+한우사골곰탕),"25,000원",health,한우사골 선물세트,해당사항 없음,식육추출가공품/비살균제품,"㈜비전푸드, 인천시 강화군 선원면 중앙로 131-18","제조일로부터 12개월 / 상시 출고 제품으로 상품마다 유통기한 상이합니다, 고객센터로 문의 주시기 바랍니다",한 팩당 600g,상품상세설명 참조,해당사항 없음,해당사항 없음,상품상세설명 참조,해당사항 없음,1644-8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"""면역력을 1포하라"" 정관장 홍삼정에브리타임(30일분)","102,000원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,제조년일: 2022-06-01 / 유통기간: 2024-06-01,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"아프다고 굶지마요, 본죽 14종+장조림 set (총 7팩/10팩)","19,900원",health,"아프다고 굶지마요, 본죽 14종+장조림 set (총 7팩/10팩)",동방푸드마스타 / 농업회사법인 올레㈜,즉석조리식품(레토르트식품) / 조림류(멸균제품),(주)동방푸드마스타(충북 음성군 대소면 대금로 105번길 70) / 농업회사법인 올레㈜(경기도 양주시 장흥면 권율로29번길 115-82),제조일로부터 1년 / 제조일로부터 9개월,상세페이지 참조,"미니장조림: 본장조림소스[정제수,양조간장{탈지대두(외국산:인도산,미국산,중국산)},야채엑기스{육수농축액(소고기:호주산)},설탕,생강,복합조미식품],쇠고기(호주산) /  전복죽 : 정제수, 멥쌀(국산), 전복(외국산:필리핀, 말레이시아, 인도네시아 등), 찹쌀(국산), 생미분, 양파, 표고버섯(국산), 바지락엑기스, 새송이버섯, 마늘, 참기름, 정제소금, 기타가공품, 효모추출물, 향미증진제 /  쇠고기죽: 정제수, 멥쌀(국산), 쇠고기(호주산), 양파(국산), 찹쌀(국산), 생미분, 표고버섯, 우지(호주산), 당근(국산), 부추(국산), 애호박(국산), 참기름, 정제소금, L-글루탐산나트륨(향미증진제), 소고기엑기스, 마늘(국산), 사골추출물, 기타가공품 /  보양삼계죽: 정제수, 닭고기(국산), 멥쌀(국산), 치킨맛육수베이스{닭뼈(국산), 치킨엑기스(계육 : 국산)}, 찹쌀(국산), 양파, 생미분, 당근, 대파, 사골추출액, 마늘, 치킨팻(인도네시아산), 인삼(국산), 기타가공품 /  낙지김치죽: 정제수, 김치{절임배추(배추 : 국산), 무(국산), 다시마육수, 고춧가루(중국산), 밀가루풀}, 멥쌀(국산), 콩나물(국산), 낙지(베트남산), 찹쌀(국산), 김치엑기스, 대파, 생미분, 설탕, 마늘, 동치미농축액, 야채풍미농출액, 복합조미식품, 소스, 고춧가루, 향미증진제, 기타가공품, 식물성분해단백, 파프리카추출색소, 효모추출물, 호박산이나트륨 / 단호박죽 : 정제수,스팀단호박(단호박100% : 중국산), 단호박페이스트(단호박 100% : 중국산), 설탕, 생미분(국산), 혼합분유, 정제소금 /  통단팥죽 : 정제수, 팥(중국산), 설탕, 덱스트린, 생미분(국산), 혼합제제(변성전분, 덱스트린), 정제소금(국산), 복합조미식품, 기타가공품, 잔탄검, 메틸셀룰로오스 / 전복죽 : 정제수, 멥쌀(국산), 전복(외국산:필리핀, 말레이시아, 인도네시아 등), 찹쌀(국산), 생미분, 양파, 표고버섯(국산), 바지락엑기스, 새송이버섯, 마늘, 참기름, 정제소금, 기타가공품, 효모추출물, 향미증진제 /  쇠고기죽 : 정제수, 멥쌀(국산), 쇠고기(호주산), 양파(국산), 찹쌀(국산), 생미분, 표고버섯, 우지(호주산), 당근(국산), 부추(국산), 애호박(국산), 참기름, 정제소금, L-글루탐산나트륨(향민증진제), 소고기엑기스, 마늘(국산), 사골추출물, 기타가공품 /  보양삼계죽 : 정제수, 닭고기(국산), 멥쌀(국산), 치킨맛육수베이스{닭뼈(국산), 정제소금(국산)}, 찹쌀(국산), 양파, 생미분, 당근, 대파, 사골추출액, 마늘, 치킨팻(인도네시아산), 인삼(국산), 기타가공품 / 단호박죽 : 정제수, 스팀단호박(단호박100% : 중국산), 단호박페이스트(단호박100% : 중국산), 설탕, 생미분(국산), 혼합분유, 정제소금 /  화끈짬뽕죽 : 정제수, 쌀(국산), 문어(필리핀산), 당근(국산), 배추(국산), 대파, 찹쌀, 콩기름, 마늘, 생이분, 양파, 오징어추출페이스트, 고추씨기름, 홍합엑기스, 홍청양고추농축액, 홍고추, 치킨맛육수베이스, 양념다대기, L-글루탐산나트륨(향미증진제), 소스, 복합조미식품, 정제소금, 효모추출물, 기타가공품, 파프리카추출색소, 크러쉬드레드페퍼, 고춧가루, 향미증진제, 호박산이나트륨 /  미역죽 : 정제수, 멥쌀(국산), 쇠고기(호주산), 찹쌀(국산), 사골추출물, 생미분, 마늘, 염장미역(미역:국산), 참기름, L-글루탐산나트륨(향미증진제), 콩발효맛내기진, 기타가공품, 향미증진제","미니장조림: 열량65kcal,나트륨630mg,탄수화물5g,당류6g,콜레스테롤140mg,지방1g트랜스지방0g,포화지방0.6g,단백질7g /  전복죽: 열량95kcal,나트륨400mg(20%),탄수화물17g(5%),당류0g(0%),콜레스테롤5mg(2%),지방1.8g(3%),트랜스지방0g,포화지방0g(0%),단백질3g(5%) /  쇠고기죽: 열량135kcal,나트륨410mg(21%),탄수화물18g(6%),당류0g(0%),콜레스테롤10mg(3%),지방4.9g(9%),트랜스지방0g,포화지방1.7g(11%),단백질5g(9%) /  보양삼계죽: 열량125kcal,나트륨430mg(22%),탄수화물18g(6%),당류0g(0%),콜레스테롤20mg(7%),지방0.8g(5%),트랜스지방0g,포화지방0.8g(5%),단백질7g(13%) /  낙지김치죽: 열량120kcal,나트륨620mg(31%),탄수화물23g(7%),당류3g(3%),콜레스테롤20mg(7%),지방0.7g(1%),트랜스지방0g,포화지방0g(0%),단백질5g(9%) / 단호박죽 : 열량135kcal,나트륨300mg(15%),탄수화물30g(9%),당류17g(17%),콜레스테롤0mg(0%),지방0.9g(2%),트랜스지방0g,포화지방0g(0%),단백질2g(4%) / 통단팥죽 : 열량190kcal,나트륨280mg(14%),탄수화물40g(12%),당류11g(11%),콜레스테롤0mg(0%),지방0g(0%),트랜스지방0g,포화지방0g(0%),단백질7g(13%) / 전복죽 : 열량165kcal,나트륨660mg(33%),탄수화물29g(9%),당류0g(0%),콜레스테롤10mg(3%),지방3g(6%),트랜스지방0g,포화지방0.6g(4%),단백질5g(9%) / 쇠고기죽 : 열량220kcal,나트륨670mg(34%),탄수화물29g(9%),당류0g(0%),콜레스테롤15mg(5%),지방8g(15%),트랜스지방1g미만,포화지방2.8g(19%),단백질8g(15%) / 보양삼계죽 : 열량205kcal,나트륨700mg(35%),탄수화물29g(9%),당류1g미만(1%),콜레스테롤30mg(10%),지방4.5g(8%),트랜스지방0g,포화지방1.3g(9%),단백질12g(22%) / 단호박죽 : 열량225kcal,나트륨500mg(25%),탄수화물50g(15%),당류27g(27%),콜레스테롤0mg(0%),지방1.5g(3%),트랜스지방0g,포화지방0.7g(5%),단백질3g(5%) /  화끈짬뽕죽 : 열량275kcal, 나트륨690mg(35%), 탄수화물31g(10%), 당류3g(3%), 콜레스테롤50mg(17%), 지방13g(24%), 트랜스지방0g, 포화지방2.2g(15%), 단백질8g(15%) / 미역죽 : 열량190kcal,나트륨790mg(40%),탄수화물30g(9%),당류0g(0%),콜레스테롤10mg(3%),지방4g(7%),트랜스지방0g,포화지방1.2g(8%),단백질8g(15%)",해당사항 없음,포장지가 날카로우니 개봉 및 섭취 시 주의하시기 바랍니다.,해당사항 없음,1588-6219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"22년 첫 출하 달콤한"" 제주 고당도 노지감귤 2.5kg (로얄과/11Brix이상)","12,900원",health,,,,,,,,,,신선식품 특성상 빠른 섭취 부탁드립니다.,,010-8446-0443,,,,,,,,,,,노지감귤,2.5kg,하귀농협 / 한섬누리,국내산,상시수확중,해당사항없음,2.5kg,냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"탐라왕 ""제주그대로"" 황금향 선물세트 2.5kg(8-12과/12brix이상)","22,900원",health,,,,,,,,,,생물이므로 되도록 빠른 섭취,,010-8588-4037,,,,,,,,,,,황금향,"실중량 2.5kg 이상, 8-12과",탐라왕영농조합법인,국내산(제주),"2022년 상시수확, 생물이므로 되도록 빠른섭취",해당없음,"실중량 2.5kg 이상, 8-12과",냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,[고급선물가방/완도산지출하] 완도전복 1kg 10~12미 특상 사이즈(완도유진수산),"47,800원",health,,,,,,,,,,상품상세설명 참조,,070-7010-3564,,,,,,,,,,,청정완도전복 1kg 10~12미 특상,1kg 10~12미 특상,판매자: 완도유진수산,전라남도 완도군,신선식품,상품상세설명 참조,1kg 10~12미 특상,수령즉시 냉장/냉동보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,순천참한우 1등급 1.2kg (등심600g+안심300g+채끝300g),"119,000원",health,,,,,,,,,,상품상세설명 참조,,"(주)바담 고객센터: 061-980-5600 (평일 10-17시,점심12-13시 / 주말,공휴일 휴무)",,,,,,,,,,,상품상세설명 참조,"등심600g+안심300g+채끝등심300g, 1, 크기는 상품별 차이가 있어 정보제공이 어렵습니다.",순천참한우,국내산,주문확인후 순차작업 / 유통기한: 냉장보관 7일,축산법에 따른 등급표기 1등급 / 이력관리에 따른 표시유무 제품에 별도표기,1.2kg (등심600g+안심300g+채끝등심300g),수령후 냉장보관 1~2일 장기보관시 소분하여 냉동보관 / 신선식품이므로 가급적 수령즉시 섭취를 권장합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"""에너지 선물"" 정관장 활기력 20ml x 16병","41,400원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조날짜 2022-08-01 / 유통기한 2024-08-01,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,해당없음,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,프리미엄 샤인머스캣 과일선물세트 1.3KG 이상 (2송이/특품),"32,900원",health,,,,,,,,,,신선식품 특성상 빠른 섭취 부탁드립니다.,,010-9188-1699,,,,,,,,,,,샤인머스캣,"2개입, 총 1.3kg",애플리아,국내산,상시수확중,해당사항없음,"2개입, 총 1.3kg",냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"""🎁인기건강선물🎁"" 니몸내몸 영양젤리 3종 구미 선물세트(비타민C,비타민D,루테인)[선물포장]","29,900원",health,상품상세설명 참조,,건강기능식품,"(주)코스맥스엔비티, 경기도 이천시 마장면 덕평로 663번길",,각 4g x 20ea,"1. 비타민C:비타민C, 물엿, 백설탕, 젤라틴(돈피), 정제수, D-소비톨액, 혼합제제(가공유지,천연향료), 당류가공품(과당,생강추출액), 서양자두농축액,무수구연산, 펙틴, 식용유지가공품, 레몬농축액, 대추농축액,도라지농축액, 구연산삼나트륨, 강황추출액 (탄수화물6g,당류5g,단백질1g미만,지방0g,나트륨0mg,비타민C100mg) 2. 비타민D: 비타민D혼합제제(비타민d,아라비아검,자당,옥수수전분,중쇄중성지방유,이산화규소,DL-알파-토코페롤), 물엿, 자당, 젤라틴(돈피), 정제수, D-소비톨액, 복숭아농축액, 프로필렌글리콜, 트리아세틴, 합성향료, 빙초산, 오렌지오일, 구연산, 코팅오일, 펙틴, 효소처리스테비아, 블랙당근농축액, 구연산삼나트륨, 구연산칼슘, 황산마그네슘, 비타민K(아라비아검,자당,비타민K),돼지고기, 복숭아 함유 (탄수화물6g,당류5g,단백질1g미만,지방0g,나트륨0mg,비타민C100mg) 3. 루테인:마리골드꽃추출물, 물엿,자당,정제수,젤라틴,D-소비톨액,구연산,세븐베리농축액,블루베리향,믹스베리향,블랙당근농충액,코팅오일,펙틴,구연산삼나트륨,효소처리스테비아,자당지방산에스테르,분말비타민A혼합제제(말토덱스트린,아라비아검,옥수수전분,비타민A아세테이트분말,DL-알파-토코페롤)돼지고기 함유 (탄수화물7g,당류5g,단백질1g미만,지방0g,나트륨0mg,루테인20mg)",,해당사항 없음,상품상세설명 참조,해당사항 없음,(주)소셜빈 1644-3664,,,,,,,,,,,,,,,튼튼젤리: 제조일자 2021-01-20 / 유통기한 2023-02-16 햇뼛젤리: 제조일자 2021-01-20 / 유통기한 2023-02-28 뻔뜩젤리: 제조일자 2021-01-26 / 유통기한 2023-03-01,,,,"1. 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요 2. 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌 3. 마리골드꽃추출물 : 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음","* 1일 2개 섭취 1)특이체질,알레르기 체질인 경우에는 원료명을 확인 후 섭취하십시오. 2)유아, 어린이는 섭취 시 목에 걸릴 수 있으니 보호자의 주의가 필요합니다. 3)섭취량 및 섭취방법을 확인 후 섭취하십시오. 4)과량 섭취 시 설사를 유발할 수 있습니다. 5)과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.",비타민C / 비타민D / 마리골드꽃추출물,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
