,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,재질,구성품,크기,출시년월,제조사,제조국,수입식품안전관리특별법에 따른 수입신고,품질보증기준,A/S 책임자,종류,소재,치수,취급시 주의사항,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,제품구성,세탁방법/취급시 주의사항,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,제조연월,KC 인증 필 유무,정격전압/소비전력,"크기,무게",주요 사양,HB21-26-0383,사용연령 또는 체중범위,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",소재/순도/밴드재질,중량,제조자,착용 시 주의사항,보증서 제공 여부,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
10,"22년 첫 출하 달콤한"" 제주 고당도 노지감귤 2.5kg (로얄과/11Brix이상)","12,900원",samll_gift,,,,,,,,,,신선식품 특성상 빠른 섭취 부탁드립니다.,,010-8446-0443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,노지감귤,2.5kg,하귀농협 / 한섬누리,국내산,상시수확중,해당사항없음,2.5kg,냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"""한알도 빠짐없이 달콤한"" 당도선별 감귤 1.5kg(로얄과/11brix이상)","9,900원",samll_gift,,,,,,,,,,해당없음,,010-8588-4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유라조생 감귤,"1.5kg, 1box, 로얄과 S~M",탐라왕영농조합법인,국내산(제주도),"1.5kg, 1box, 로얄과 S~M, 생물이므로 되도록 빠른 섭취",해당없음,1.5kg 로얄과,냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,너랑 썸탈꺼야 세트(허니브레드+딸기라떼+(ICE)아메리카노),"10,200원",samll_gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)카카오,2022년 5월 31일 이전 발급 : 발급일 포함 94일 / 2022년 6월 1일 이후 발급 : 발급일 포함 367일 ※ 주문일 확인 방법 : 선물함 &gt; 사용정보,(주)쿠프마케팅,상품상세 설명 참조,상품상세설명 참조,"구매자취소(청약철회) 가능 기간까지는 구매자가 취소를 요청할수 있으며 실제 결제 금액의 100%가 구매자에게 결제 취소/ 환불 됩니다. 이후에는 수신자가 환불을 요청할수 있으며 실제 결제 금액의 90%가 수신자에게 환불 됩니다.(구매자와 수신자가 동일하다면 원결제 수단으로 결제 취소/ 환불) 선물취소, 환불은 선물함에서 직접 할수 있습니다.",1544-2431 (통화료 발생 / 평일 9시 ~ 19시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,[단독/쇼핑백+추가증정] 캐스키드슨 핸드&바디 4종세트(워시+로션+핸드크림+배쓰솔트),"20,000원",samll_gift,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,본 제품에 이상이 있을 경우 공정거래위원회 고시 '소비자 분쟁 해결 기준'에 의거 보상해 드립니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"바디워시 200ml, 바디로션 200ml, 핸드크림 30ml, 배쓰솔트 100g, 케이스 22 x 26 x 5cm",모든 피부,"제조일로부터 2년이내의 상품을 순차적으로 배송, 개봉일로부터 12개월 (각 제품에 별도 표기)","바디워시: 적당량을 덜어 거품을 낸 뒤 골고루 마사지하 듯 닦아준 후 깨끗하게 헹구어 줍니다., 바디로션: 샤워 후 물기를 제거하고 적당량을 덜어 부드럽게 마사지하듯 피부에 골고루 흡수시켜 줍니다., 핸드크림: 건조함을 느낄 때마다 적당량을 부드럽게 펴발라 흡수시켜 줍니다., 배쓰솔트: 대야나 욕조에 따뜻한 물을 채워 10~15분 가량 담근 뒤 물로 가볍게 헹궈줍니다. (반신욕 100g / 수&amp;족욕 50g)",(주)에스엘라이프,"바디워시: 정제수,디소듐라우레스설포석시네이트,코카미도프로필베타인,피이지-120메칠글루코오스디올리에이트,글리세린,피이지-7글리세릴코코에이트,소듐클로라이드,향료,코코넛추출물,페녹시에탄올,해당화추출물,판테놀,디소듐이디티에이, 바디로션: 정제수,글리세린,세테아릴알코올,아이소프로필미리스테이트,스테아릭애씨드,카프릴릭/카프릭트라이글리세라이드,향료,글리세릴스테아레이트,피이지-100스테아레이트,시어버터,사이클로펜타실록산,사이클로헥사실록세인,세테아레스-25,카보머,트리에탄올아민,페녹시에탄올,카프릴릴글라이콜,코코넛오일,해당화추출물,토코페릴아세테이트, 핸드크림: 정제수,스테아릭애씨드,아이소프로필미리스테이트,세테아릴알코올,글리세린,미네랄오일,세테아레스-25,디메치콘,향료,시어버터,글리세릴스테아레이트,피이지-100스테아레이트,코코넛오일,카보머,해당화추출물,페녹시에탄올,카프릴릴글라이콜,트리에탄올아민,토코페릴아세테이트, 배쓰솔트: 소듐클로라이드,글리세린,향료",해당 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2. 상처가 있는 부위 등에는 사용을 자제할 것 3. 보관 및 취급 시의 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나)직사광선을 피해서 보관할 것",070-5129-2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"탐라왕 ""갓따온 제주"" 황금향 1.5kg 로얄과(7-10과/12brix이상)","15,900원",samll_gift,,,,,,,,,,생물이므로 되도록 빠른 섭취,,010-8588-4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,황금향,"1.5kg, 7-10개",탐라왕영농조합법인,국내산(제주),"금년도 상시수확, 생물이므로 되도록 빠른 섭취",해당없음,"1.5kg, 7-10개",냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"""300년 전통"" 독일 람베르츠 베스트 쿠키 셀렉션","19,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,가공식품,제품개별표시,제조일 : 상시출고제품이라 제조일이 상이합니다. 상세한 문의는 고객센터로 연락 바랍니다. 유통기한 : 제조일로부터 15개월,"상세페이지참조, 상세페이지참조",상세페이지참조,상세페이지참조,해당없음,상품상세설명 참조,수입식품안전관리특별법에 따른 수입신고를 필함,1544-2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,제주 중문농협에서 엄선한 새콤달콤 타이벡 감귤 2.5kg(11Brix이상),"12,900원",samll_gift,,,,,,,,,,해당없음,,02-529-0972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,타이벡 감귤 2.5kg,타이벡 감귤 2.5kg,중문농협,제주특별자치도 서귀포시,상시수확 및 포장,농산물 해당없음,2.5kg 1박스,실온 후숙후 실온 보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,레모나프렌즈 카카오 레모나산 하트캔 (2g x 70포)/KF94 마스크&쇼핑백 증정,"16,900원",samll_gift,카카오 레모나산 70포,해당사항 없음,의약외품,경남제약㈜/ 충남 아산시 신창면 서부남로790번길 49,상시제조제품/ 제조일로부터 24개월/정확한 유통기한은 고객센터로 문의 부탁드립니다.,2g x 70포,상품상세설명 참조,상품상세설명 참조,해당사항 없음,"제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의바랍니다. 알레르기 체질이신 분은 성분을 확인 후 섭취하여 주십시오. 어린이 섭취 시 보호자의 지도, 감독하에 섭취시키십시오.",해당사항 없음,080-232-8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"""디저트선물"" 프랑스 프리미엄 마카롱24입(클래식1팩+구르망1팩)","19,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,과자(가열하지 않고 섭취하는 냉동식품),상세페이지참조,"제품개별표시, 제품측면별도표기일까지","308g(154g*2팩), 1",상세페이지참조,상세페이지참조,해당사항없음,상품상세설명 참조,식품위생법에 따른 수입신고를 필함,031-895-5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,[선물포장] 미니 퍼퓸 핸드크림 (5종 택1),"18,000원",samll_gift,,,,,,,,,,,,,,,,,,,대한민국,,본 제품은 공정거래위원회고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15ML,모든 피부 타입,제조일로부터 36개월 (사용기한 1년 이상 남은 상품을 배송해드립니다.),더 쉘 퍼퓸핸드의 쉘 케이스는 특수한 이중구조 용기와 에어리스 펌프 시스템으로 사용하는 동안 내용물이 변질되지 않게끔 외부 공기와의 접촉을 최대한 차단합니다.  쉘 케이스의 뚜껑을 열어 버튼을 세로방향으로 손등에 부드럽게 눌러보세요. 깔끔한 애티튜드로 기능하는 새로운 에어리스 펌프 시스템이 내용물을 최대한 남기지 않고 사용할 수 있게 도와줍니다.,*화장품제조업자 - 주식회사 정코스 / *화장품책임판매업자 - (주)아이아이컴바인드,"[CHAMO]정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 향료, 세테아릴알코올, C12-15알킬벤조에이트, 아이소도데케인, 1,2-헥산다이올, 글리세릴스테아레이트, 베헤닐알코올, 시어버터, 다이메티콘, 피이지-100스테아레이트, 스테아레스-2, 사이클로헥사실록세인, 에틸헥실글리세린, 알루미늄전분옥테닐석시네이트, 잔탄검, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 세틸알코올, 하이드롤라이즈드호호바에스터, 판테놀, 토코페릴아세테이트, 호호바에스터, 소듐하이알루로네이트, 병풀추출물, 벤질알코올, 벤질살리실레이트, 쿠마린, 제라니올, 리모넨, 리날룰 [000] 정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 세테아릴알코올, C12-15알킬벤조에이트, 아이소도데케인, 1,2-헥산다이올, 향료, 글리세릴스테아레이트, 베헤닐알코올, 시어버터, 피이지-100스테아레이트, 다이메티콘, 에틸헥실글리세린, 알루미늄전분옥테닐석시네이트, 잔탄검, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 세틸알코올, 하이드롤라이즈드호호바에스터, 아데노신, 판테놀, 토코페릴아세테이트, 호호바에스터, 소듐하이알루로네이트, 병풀추출물, 시트랄, 리모넨, 리날룰. [FEY9] 정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 세테아 릴알코올, C12-15알킬벤조에이트, 아이소도데케인, 향료, 1,2-헥 산다이올, 글리세릴스테아레이트, 베헤닐알코올, 시어버터, 피 이지-100스테아레이트, 다이메티콘, 에틸헥실글리세린, 알루미늄전분옥테닐석시네이트, 잔탄검, 암모늄아크릴로일다이메틸 타우레이트/브이피코폴리머, 세틸알코올, 하이드롤라이즈드 호호바에스터, 아데노신, 판테놀, 토코페릴아세테이트, 호호바에스터, 소듐하이알루로네이트, 병풀추출물, 신나밀알코올, 파네솔, 리모넨, 리날룰. [POSY] 정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 세테아릴알코올, C12-15알킬벤조에이트, 아이소도데케인, 향료, 1,2-헥산다이올, 글리세릴스테아레이트, 베헤닐알코올, 시어버터, 피이지-100스테아레이트, 다이메티콘, 에틸헥실글리세린, 알루미늄전분옥테닐석시네이트, 잔탄검, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 세틸알코올, 하이드롤라이즈드호호바에스터, 아데노신, 판테놀, 토코페릴아세테이트, 호호바에스터, 소듐하이알루로네이트, 병풀추출물, 알파-아이소메틸아이오논, 벤질벤조에이트, 벤질살리실레이트, 시트로넬올, 유제놀, 제라니올, 리모넨, 리날룰. [VEIN] 정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 세테 아릴알코올, C12-15알킬벤조에이트, 아이소도데케인, 향료, 1,2-헥산다이올, 글리세릴스테아레이트, 베헤닐알코올, 시어버터, 피이지-100스테아레이트, 다이메티콘, 에틸헥실글리세린, 알루미늄전분옥테닐석시네이트, 잔탄검, 암모늄아크릴로일 다이메틸타우레이트/브이피코폴리머, 세틸알코올, 하이드롤 라이즈드호호바에스터, 아데노신, 판테놀, 토코페릴아세테이트, 호호바에스터, 소듐하이알루로네이트, 병풀추출물, 시트로넬올, 유제놀, 제라니올, 헥실신남알, 아이소유제놀, 리모넨, 리날룰.","주름개선(000, FEY9, POSY, VEIN 제품에 해당됨)","에어리스 펌프 특성상 공타가 3~10회 정도 발생할 수 있으며 공펌핑을 n회 더하면 사용이 가능합니다. 1.화장품 사용시 또는 사용후 직사광선에 의하여 사용부위가 붉은반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2.상처가 있는 부위 등에는 사용을 자제할 것 3.보관 및 취급시의 주의사항 1)어린이의 손이 닿지 않는 곳에 보관할 것 2)직사광선을 피해서 보관할 것",02-1644-1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,[경남제약] 레모나S산 (1.5g x40포) + 선물용 쇼핑백/부담없는 비타민 선물,"9,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"""6가지 다양한 맛"" 프리미엄 디저트 골든쿠키세트(선물용쇼핑백증정)","15,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,과자류,신라명과 : 경남 창녕군 대합면 대합공단길 21,"2017.10.26. 본 상품을 수시생산으로 정확한 제조년월일 표기가 어렵습니다. 정확한 제조년월일은 소비자 상담번호 070-4296-6040~3 으로 문의바랍니다., 유통기한 : 제조일로부터 180일","605g(6종), ea",상세기술서참조,상세기술서참조,해당없음,상품상세설명 참조,해당없음,031-441-6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"쫀득쫀득, 달콤하게 사르르 녹는 소프트 초콜릿","12,000원",samll_gift,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"""말랑 말랑 힐링템"" 춘식이 미니 페이스 쿠션","15,000원",samll_gift,,,,,,,,,,,,,,,,,,토이스토리,중국,,본 제품은 공정거래위원회 고시 소비자 분쟁해결기준에 의거 교환 및 보상을 받으실 수 있습니다.,카카오프렌즈 고객센터 1577-6263,,,"약 280*150*240, 269g 내외",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[표면] 폴리에스터 96%, 폴리우레탄 4% / [솜] 폴리에스터 100%",오렌지 외,쿠션 1개,1. 포장은 반드시 부모님(보호자)께서 개봉해 주시고 분리수거해 주십시오. 2. 제품 용도 이외에는 사용하지 마십시오. 3. 입에 넣고 물거나 빨지 않도록 주의하십시오. 4. 불에 직접 닿거나 가까이하지 마십시오. 5. 세탁기 사용을 금하고 손으로 세탁하여 주십시오. 6. 물에 젖을 경우 그늘에서 말려 주십시오.,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"""누적판매 80만개"" 최고 인기 선물 밀크앤허니 호두파이","15,300원",samll_gift,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,신세계푸드 천안공장,제조일로부터 7일,1개입 750g,상세설명 참조,상세설명 참조,해당 없음.,상품상세설명 참조,해당 없음.,02-3397-6250(온라인),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22년 고당도 시나노골드 황금사과 2kg 과일선물 (8~10과),"19,800원",samll_gift,,,,,,,,,,신선식품 특성상 빠른 섭취 부탁드립니다.,,010-9188-1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,시나노골드,"8~10과, 2kg",애플리아,국내산,상시수확중,해당사항없음,"8~10과,2kg",냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,'제주 유기농 녹차로 만든' 오설록 그린티 롤케이크,"19,800원",samll_gift,상품상세설명 참조,해당사항 없음,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,카카오톡 1:1 문의  또는 오설록 고객센터 전화: 080-805-5555/이메일 상담: help@osulloc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
