,name,price,type,종류,소재,치수,제조사,제조국,취급시 주의사항,품질보증기준,A/S 책임자,제품 소재,색상,품명 및 모델명,재질,사용연령 또는 체중범위,출시년월,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",KC 인증 필 유무,세탁방법/취급시 주의사항,제조연월,크기,제품명,식품의 유형,제조업소의 명칭과 소재지,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성","제조연월일(포장일 또는 생산연도), 유통기한","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,유전자 변형 식품의 경우 표시,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,소비자 안전을 위한 주의사항,"수입품의 경우 생산자, 수입자 및 제조국","제조연월일(포장일 또는 생산연도), 유통기한 ",영양성분,제품구성,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,구성품,수입식품안전관리특별법에 따른 수입신고
10,[현대백화점] [캉골키즈]AOCCRT00080 클럽 로고 스웨트셔츠 OC 0008,"53,100원",baby,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,
11,키즈 방울 비니 아동 모자 NK8BCF404U,"39,900원",baby,모자,"겉감 : 아크릴 100% , 안감 : 폴리에스터 100% (심지,보강재,상표,무늬,레이스,밴드,자스,장식 제외)",상세이미지참조,(주)이랜드월드뉴발란스키즈사업부/(주)이랜드월드뉴발란스키즈사업부,한국,케어라벨참조,관련법 및 소비자분쟁해결기준에 따름,뉴발란스키즈고객상담실/080-999-0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,[현대백화점] [캉골키즈]AOFBCB00110 코드 하프문 크로스백 OF 0011,"44,100원",baby,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,
13,[현대백화점] [블루독아동/키즈2]BD기모 트레이닝 세트(22W3067201~3)추리닝..,"44,630원",baby,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,
14,[현대백화점] [블루독8] 22FW CR)부클로고CP트레이닝세트 티셔츠 바지 언더웨어 ..,"53,720원",baby,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,
15,"""간식처럼 챙겨줘요"" [조카선물] 루솔 키즈영양제 굿케어키즈 홍삼 면역젤리 1 박스( 총 20포)","21,900원",baby,,,,,,,,,,,,,,,,,,,,,루솔 굿케어키즈 홍삼 면역젤리,건강기능식품,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,수시입고되는 상품으로 고객센터로 문의부탁드립니다/ 유통기한 : 제조일로부터 18개월,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,본 제품은 질병의 에방 및 치료를 위한 의약품이 아닌 건강기능식품입니다,해당사항 없음,해당사항 없음,루솔 고객만족실 1644-2571,상품상세설명 참조,,,,,,,,
16,"""간절기에 꼭 필요한"" [조카선물] 루솔 진한 배도라지즙 40포 선물박스","46,000원",baby,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,액상차,배도라지즙 : 자연식품-전라남도 무안군 삼향읍 송죽길 224-4,,,,상품상세설명 참조,"배85%,도라지15%",,,해당없음,해당없음,루솔 고객만족실 1644-2571,상품상세설명 참조,상품상세설명 참조,"2019.01.03 이후 생산되어 수시입고 되는 제품으로 자세한 내용은 루솔 고객센터로 문의 부탁드립니다., 제조일로부터1년",상세페이지참고,,,,,
17,시크릿쥬쥬 시크릿 노트북,"59,900원",baby,,,,상세페이지 참조,상세페이지 참조,,상세페이지 참조,상세페이지 참조,,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,
18,"""조카선물"" 유아헤어핀 선물세트 16종 택1 (선물박스)","9,800원",baby,헤어핀,"폴리에스테르,펠트 등",상세페이지 기재,채니봉봉,상품상세설명 참조,"니켈성분이 없는 무니켈제품으로 다른 금속에 비해 산화되기 쉽니다. 빛과 열, 화학물질, 땀, 물에 의해 변질이 될 수 있습니다.",정보고시에 따름,1644-8020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,타이거 블록테이블(블록 160개+블록 테이블 1개+소책자 1권),"54,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
20,"""[백일/돌 선물]"" [기획세트] 뒹굴러 소파(래빗,베어) + 쁘띠 키즈테이블","109,000원",baby,,,상세페이지참조,룸앤홈/서흥인터내셔날,상품상세설명 참조,,상세페이지참조,1588-5806,"폴리에스터,폴리우레탄",상세페이지참조,,,,,,,,상세페이지참조,,,,,,,,,,,,,,,,,,,,상세페이지참조,,,,
21,[현대백화점] [피터젠슨] 유니콘 무빙 컬러링 선물세트 바이올렛 PSX62YT52M,"37,800원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
22,[조카선물] 하퍼스테이블 LED 모래놀이 샌드 아틀리에 세트 /촉감놀이/소근육,"110,000원",baby,,,,상품상세설명 참조,상품상세설명 참조,,"품질보증기준 고객변심 및 주문착오에 의한 교환/반품은 제품 수령일로부터 7일 이내 가능합니다. 교환/반품시에는 정품케이스, 부속품등은 발송할때와 모두 동일한 상태여야 가능합니다. 불량제품 또는 표시, 광고의 내용과 다르거나 계약내용과 다르게 이행된 경우 그 재화등을 공급받은 3개월 이내 또는 그 사실을 안 날로부터 30일 이내에 청약철회 가능합니다. 사용제품은 교환/환불 불가합니다.",A/S 책임자와 전화번호 쁘띠엘린 고객센터 1566-3903,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
23,[조카선물/신학기선물] 깔깔깔 아동 경량패딩점퍼,"32,900원",baby,,,,상세페이지 참조,상품상세설명 참조,,공정거래위원회 고시 소비자 분쟁해결기준에 따름,070-5014-2222,,상세페이지 참조,깔깔깔 점퍼,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,KC 인증 필,,,,,,,,,,,,,,,,,,,,,,,,,
24,키즈 KDY 핸드폰 가방 아동 NK8ACF612U,"29,900원",baby,가방,"겉감 : 폴리에스터 100% , 안감 : 폴리에스터 100% (심지,보강재,상표,무늬,레이스,밴드,자수,장식 제외)",,(주)이랜드월드뉴발란스키즈사업부/(주)이랜드월드뉴발란스키즈사업부,중국,케어라벨참조,관련법 및 소비자분쟁해결기준에 따름,뉴발란스키즈고객상담실/080-999-0456,,"(25)Pink,(35)Beige,(49)Khaki",,,,,,,,,,상세이미지참조,,,,,,,,,,,,,,,,,,,,,,
25,"""조카 선물 추천"" ""색감맛집 데일리라이크"" 데일리 키즈 삭스 4p 세트 01-04 (유아동 양말 선물)","13,900원",baby,키즈 삭스,"면 80%,  폴리에스테르 17%, 폴리우레탄 3%",S(3-4세) 12-14 CM / M(5-6세)  14-16 CM / L(7-8세)  16-18 CM / XL(8-10세) 18~20 CM,이투컬렉션,대한민국,상품상세설명 참조,해당기준에 따름,070-4014-2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"""귀요미 실내화"" 마이멜로디 방한실내화 [홀라] 가벼운 털실내화 190~250mm 학생 기숙사 성인","14,900원",baby,,,"150/160/170/180/190/200/210/220/230,굽없음",HAIMEN KEONJONG/㈜명신에프엔에스,상품상세설명 참조,1.건조시킬 때에는 응달에서 말려 주십시오.2.불 옆에 놓으면 변화하거나 변형하는 일이 있으니 주의하십시오.3.장시간 물에 담궈 두거나 세탁기 사용을 절대 금합니다.,관련법 및 소비자분쟁해결기준에 따름,오키즈 / 1800-7232,겉감-합성고무/안감-폴리에스터100%/창-합성고무,화이트 (상세참조),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,동화로 배우는~코딩 컴퓨터,"65,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,
28,"""생일선물"" [공주님 가방] 시크릿쥬쥬 크로스 [진주엔젤-PN246] 아동 어린이 외출용 핸드백","19,900원",baby,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,
29,울고 웃고 말하는~ 옹알이 콩콩이,"30,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,
30,"""햇살비타민 한 방울"" [조카선물] 루솔 먹이기 쉬운 키즈영양제 굿케어 비타민D 드롭","16,900원",baby,,,,,,,,,,,,,,,,,,,,,루솔 굿케어 비타민D 드롭,건강기능식품,코스맥스엔비티(주)/ 경기도 이천시 마장면 덕평로 663번길 127-16,[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요뼈의 형성과 유지에 필요골다공증 발생 위험 감소에 도움을 줌,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다,해당없음,해당없음,루솔 고객만족실 1644-2571,상품상세설명 참조,,,,,,,,
31,[조카선물] 에디슨 뽀로로 젓가락 1단계,"6,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
32,산리오 쿠로미 마이멜로디 브러쉬 모음 휴대용 빗 6종 택1,"9,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,
33,유아동 겨울 헤어핀 선물세트 5종 택1 (유아헤어핀),"9,900원",baby,헤어핀,"펠트, 폴리에스테르 등",상세페이지 기재,채니봉봉,상품상세설명 참조,"니켈성분이 없는 무니켈제품으로 다른 금속에 비해 산화되기 쉽니다. 빛과 열, 화학물질, 땀, 물에 의해 변질이 될 수 있습니다.",정보고시에 따름,1644-8020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,[조카선물] 스마일레드 유아헤어핀 선물세트 / 여아 선물 아기 머리 집게 똑딱 핀 삔,"17,800원",baby,,,,시리얼랜드,대한민국,,상품상세설명 참조,시리얼랜드 010-4324-5759,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,3세이상,2020.02.01,아이가 먹지 않게 주의해주세요. 물이나 습기가 닿지 않게 부탁립니다.,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
35,짱구 컵 [뚜껑 스텐머그-YP9200],"13,900원",baby,,,,(주)피앤디,상품상세설명 참조,,관련법 및 소비자분쟁해결기준에 따름,오키즈 / 1800-7232,,,쥬쥬-J0889,"ABS,스테인레스스틸",,2016 07,,,,,,"수저-17, 포크-18 (cm) 중량 70(g)",,,,,,,,,,,,,,,,,,,,,스푼 젓가락,해당없음
36,스케이터 헬로키티 얼굴머그 레드,"10,800원",baby,,,,"THE SKATER CO.,LTD",중국,,,,,,스케이터 헬로키티 얼굴머그 레드,,,,,,,,,,,,,,,,,,,,,,,,,,,,누리토이즈 / 032-579-7747,[교환및반품] 스케이터 제품은 단순변심 반품 및 교환이 불가합니다.,,
37,피치웜 9부내의 8종 택1 유니프랜드,"12,900원",baby,,,90 / 100 / 110 / 120 / 130 / 140 / 150 / 160,(주)경원에프엔비,베트남,,제품 이상시 공정거래위원회 고시 소비자분쟁기준에 의거 보상합니다.,(주)경원에프엔비 / 070-4349-7274,면 100%,LIGHT BLUE / GREEN / OFF WHITE / OFF WHITE / ORANGE / PURPLE,,,,,,,,"30도 중성의 물, 표백제 사용금지, 그늘진 곳에서 건조, 혼합세탁 금지, 건조기 사용금지",2022.01,,,,,,,,,,,,,,,,,,,,,,,
38,뚜잇 크로스백 힙색 초등학생핸드폰가방,"11,800원",baby,,,,날씨요정,중국(OEM),,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,010-2174-5302,,
39,[1+1/총2개] 에디슨 뽀로로 입체 스텐 젓가락 1+1 Set,"12,000원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
40,헬로키티 스푼포크케이스세트 [조용한-HK5972] 리락쿠마 쥬쥬 엘오엘 5종,"10,900원",baby,,,,(주)피앤디,상품상세설명 참조,,관련법 및 소비자분쟁해결기준에 따름,오키즈 / 1800-7232,,,쥬쥬-J0889,"ABS,스테인레스스틸",,2016 07,,,,,,"수저-17, 포크-18 (cm) 중량 70(g)",,,,,,,,,,,,,,,,,,,,,스푼 젓가락,해당없음
41,[조카선물]유니콘 프리미엄 팔찌 목걸이 만들기 유아 아동 아기 집콕 놀이 키트 생일 선물,"32,800원",baby,,,,시리얼랜드,상품상세설명 참조,,소비자분쟁해결기준(공정거래위원회 고시) 및 관계법령에 따릅니다.,박한별 02-2264-5547,,핑크,DIY 프리스타일 비즈킷 / 유니콘,"금속펜던트(무니켈), 면, 비즈, 아크릴,플라스틱",8세 이상,2018년08월,과한 힘에 의해 손상될 수 있습니다. 화기근처에 가까이하지 마세요. 먹거나 삼키지 마세요.,"19cm_23cm_4cm, 100g",안전확인신고 cb063a104-7001,,,,,,,,,,,,,,,,,,,,,,,,,
42,유아 헤어핀 선물세트 10종 택1 (선물박스),"9,900원",baby,헤어핀,"폴리에스테르,펠트 등",상세페이지 기재,채니봉봉,상품상세설명 참조,"니켈성분이 없는 무니켈제품으로 다른 금속에 비해 산화되기 쉽니다. 빛과 열, 화학물질, 땀, 물에 의해 변질이 될 수 있습니다.",정보고시에 따름,1644-8020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,포켓몬스터 더블컬러핸들컵 6종 택1,"6,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
44,"""산리오 털실내화"" 시나모롤 방한실내화 [러블리]가벼운 털실내화 230~250 mm 학생 기숙사용 성인 실내화","15,900원",baby,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"""식사시간이 즐거워 "" (수저+컵 세트상품) 쥬쥬 수저세트 [루미-SJ2733] + 시크릿쥬쥬 손잡이 컵 2P세트","13,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조
46,"""조카선물"" 노래가 나오는 아기상어 뮤직 자동 손세정기 (LG 손세정제 1ea 포함)","39,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,
47,산리오 마이멜로디/쿠로미 스트랩에코백 2종 택1,"16,000원",baby,손가방/에코백,면,,윙하우스,중국,1. 세탁시 물빠짐 현상에 주의하시고 오염된 부분만 살살 문질러 세탁하십시오.  2. 표백제나 표백 성분이 들어있는 세제 사용을 하지 마시고 드라이클리닝을 권장합니다.  3. 젖었을 시에는 직사광선 또는 불로 건조하지 마시고 그늘에서 말리십시오.,관련법 및 소비자 분쟁해결 기준에 따름,윙하우스 02-310-9113,,핑크,,,,,,,,,,34cm x 37cm 중량 150g,,,,,,,,,,,,,,,,,,,,,,
48,짱구 컵 [손잡이 도형 2P-YP9190] 남아 여아 2P세트 컵 4종류,"5,900원",baby,,,,(주)피앤디,상품상세설명 참조,,관련법 및 소비자분쟁해결기준에 따름,오키즈 / 1800-7232,,,쥬쥬-J0889,"ABS,스테인레스스틸",,2016 07,,,,,,"수저-17, 포크-18 (cm) 중량 70(g)",,,,,,,,,,,,,,,,,,,,,스푼 젓가락,해당없음
49,바바베어라운지웨어세트_BP23OS366,"59,000원",baby,,,"100,110,120,130",㈜더캐리/ ㈜더캐리,KOREA,,관련 법 및 소비자 분쟁해결 규정에 따름,㈜더캐리 고객센터 / 1833-2005,SHELL(겉감): 94% COTTON 6% POLYURETHANE,Ivory,,,,,,,,단독 세탁 (상세설명 참조),2022-08,,,,,,,,,,,,,,,,,,,,,,,
50,테디코튼테리맨투맨티셔츠_BP23TC322,"49,000원",baby,,,"100,110,120,130",㈜더캐리/ ㈜더캐리,CHINA,,관련 법 및 소비자 분쟁해결 규정에 따름,㈜더캐리 고객센터 / 1833-2005,SHELL(겉감): 80% COTTON 20% POLYESTER POINT(배색): 95% COTTON 5% POLYURETHANE,Blue,,,,,,,,단독 세탁 (상세설명 참조),2022-09,,,,,,,,,,,,,,,,,,,,,,,
51,[현대백화점] 갭키즈 [토들러남아 2-5세] 라인드 로고 후드 집업 5종 택1 52..,"40,500원",baby,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,
52,유아 아기 헤어핀 선물세트 14종 택1 (선물박스),"10,900원",baby,헤어핀,"폴리에스테르,펠트, 플라스틱, 애나멜 등",3.5cm~6cm 똑딱핀 / 집게핀 / 실핀,채니봉봉,상품상세설명 참조,세탁 절대 금지 / 무니켈 성분으로 산화되기쉽기때문에 보관 및 사용시 물이나 땀에 취약할수있습니다.,정보고시에 따름,02-3789-1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,키즈 IV878SA1 유아 운동화 NKPMCF315H,"69,000원",baby,,,"130 , 140 , 150 , 160",(주)이랜드월드뉴발란스키즈사업부/(주)이랜드월드뉴발란스키즈사업부,인도네시아,케어라벨참조,관련법 및 소비자분쟁해결기준에 따름,뉴발란스키즈고객상담실/080-999-0456,"갑피 : 겉감1 : 폴리에스터 100% , 겉감2 : 합성가죽 , 안감 : 폴리에스터 100% , 창 : 폴리에스터 40% , EVA 60%",(49)Khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,테디니트가디건_BP24KC324,"79,000원",baby,,,"100,110,120,130",㈜더캐리/ ㈜더캐리,CHINA,,관련 법 및 소비자 분쟁해결 규정에 따름,㈜더캐리 고객센터 / 1833-2005,SHELL(겉감): 35% ACRYLIC 35% NYLON 30% WOOL,Green,,,,,,,,단독 세탁 (상세설명 참조),2022-08,,,,,,,,,,,,,,,,,,,,,,,
55,짱구는 못말려 멜라민 사각 앞접시,"6,900원",baby,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조
56,[조카선물/크리스마스선물] 오즈초미니 아동 양털 어그부츠,"34,900원",baby,,,,상세페이지 참조,상품상세설명 참조,,공정거래위원회 고시 소비자 분쟁해결기준에 따름,070-5014-2222,,상세페이지 참조,오즈초미니 털안감 부츠,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,KC 인증 필,,,,,,,,,,,,,,,,,,,,,,,,,
